Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,type_season,season_year
514,Jarred Vanderbilt,PF,24,LAL,29,6,20.0,2.0,3.9,0.518,0.3,0.9,0.296,1.8,3.0,0.586,0.553,0.8,1.2,0.667,1.4,3.3,4.8,1.2,1.2,0.2,1.0,1.5,5.2,regular,2023-2024
518,Gabe Vincent,PG,27,LAL,11,0,19.8,1.4,4.5,0.306,0.3,2.5,0.107,1.1,1.9,0.571,0.337,0.1,0.2,0.5,0.4,0.5,0.8,1.9,0.8,0.0,0.5,1.7,3.1,regular,2023-2024
563,Dylan Windler,SF,27,LAL,8,0,3.5,0.5,1.1,0.444,0.5,1.0,0.5,0.0,0.1,0.0,0.667,0.0,0.0,0.0,0.0,0.4,0.4,0.8,0.0,0.0,0.0,0.3,1.5,regular,2023-2024
566,Christian Wood,PF,28,LAL,50,1,17.4,2.5,5.3,0.466,0.7,2.3,0.307,1.8,3.0,0.587,0.532,1.3,1.9,0.702,0.8,4.3,5.1,1.0,0.3,0.7,1.0,1.4,6.9,regular,2023-2024
38,Anthony Davis,C,30,LAL,5,5,41.6,11.8,18.6,0.634,0.0,1.0,0.0,11.8,17.6,0.67,0.634,4.2,5.2,0.808,3.0,12.6,15.6,4.0,0.4,1.6,2.2,3.8,27.8,playoffs,2023-2024
41,Spencer Dinwiddie,PG,30,LAL,5,0,14.6,1.0,2.8,0.357,0.4,1.6,0.25,0.6,1.2,0.5,0.429,0.6,1.2,0.5,0.2,1.2,1.4,1.6,0.4,0.2,0.2,1.4,3.0,playoffs,2023-2024
63,Rui Hachimura,PF,25,LAL,5,5,30.4,3.0,7.6,0.395,1.0,2.8,0.357,2.0,4.8,0.417,0.461,0.8,1.6,0.5,1.2,2.6,3.8,0.8,0.0,0.0,0.4,1.6,7.8,playoffs,2023-2024
74,Jaxson Hayes,C,23,LAL,4,0,6.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3,0.5,0.5,0.8,2.3,3.0,0.3,0.0,0.0,0.5,1.8,0.3,playoffs,2023-2024
93,LeBron James,PF,39,LAL,5,5,40.8,11.2,19.8,0.566,2.0,5.2,0.385,9.2,14.6,0.63,0.616,3.4,4.6,0.739,0.8,6.0,6.8,8.8,2.4,1.0,3.8,2.2,27.8,playoffs,2023-2024
162,Taurean Prince,PF,29,LAL,5,0,22.2,2.4,5.8,0.414,1.0,3.4,0.294,1.4,2.4,0.583,0.5,1.6,1.6,1.0,0.2,2.2,2.4,0.6,0.2,0.4,0.2,1.8,7.4,playoffs,2023-2024
166,Austin Reaves,SG,25,LAL,5,5,34.8,6.0,12.6,0.476,1.4,5.2,0.269,4.6,7.4,0.622,0.532,3.4,3.8,0.895,1.0,2.8,3.8,3.6,1.4,0.6,0.8,1.6,16.8,playoffs,2023-2024
174,D'Angelo Russell,PG,27,LAL,5,5,37.0,5.6,14.6,0.384,2.8,8.8,0.318,2.8,5.8,0.483,0.479,0.2,0.4,0.5,0.2,2.6,2.8,4.2,0.8,0.2,1.8,1.2,14.2,playoffs,2023-2024
195,Gabe Vincent,PG,27,LAL,5,0,13.8,0.6,2.4,0.25,0.2,1.4,0.143,0.4,1.0,0.4,0.292,0.0,0.0,0.0,0.2,1.4,1.6,0.6,0.4,0.0,0.6,1.6,1.4,playoffs,2023-2024
