player_id,full_name,first_name,last_name
1630271,Brodric Thomas,Brodric,Thomas
1630560,Cam Thomas,Cam,Thomas
202691,Klay Thompson,Klay,Thompson
1630550,JT Thor,JT,Thor
1629680,Matisse Thybulle,Matisse,Thybulle
1629681,Killian Tillie,Killian,Tillie
1630214,Xavier Tillman,Xavier,Tillman
1630225,Isaiah Todd,Isaiah,Todd
1630167,Obi Toppin,Obi,Toppin
1629308,Juan Toscano-Anderson,Juan,Toscano-Anderson
1626157,Karl-Anthony Towns,Karl-Anthony,Towns
1629018,Gary Trent Jr.,Gary,Trent Jr.
200782,P.J. Tucker,P.J.,Tucker
1626167,Myles Turner,Myles,Turner
1630649,Stanley Umude,Stanley,Umude
202685,Jonas Valanciunas,Jonas,Valanciunas
1627832,Fred VanVleet,Fred,VanVleet
1629020,Jarred Vanderbilt,Jarred,Vanderbilt
1630170,Devin Vassell,Devin,Vassell
1630492,Luca Vildoza,Luca,Vildoza
1629216,Gabe Vincent,Gabe,Vincent
203943,Noah Vonleh,Noah,Vonleh
202696,Nikola Vucevic,Nikola,Vucevic
1629731,Dean Wade,Dean,Wade
1630532,Franz Wagner,Franz,Wagner
1629021,Moritz Wagner,Moritz,Wagner
1630688,Ish Wainright,Ish,Wainright
1631133,Jabari Walker,Jabari,Walker
202689,Kemba Walker,Kemba,Walker
1629022,Lonnie Walker IV,Lonnie,Walker IV
202322,John Wall,John,Wall
203933,T.J. Warren,T.J.,Warren
1629023,P.J. Washington,P.J.,Washington
1630613,Duane Washington Jr.,Duane,Washington Jr.
1631102,TyTy Washington Jr.,TyTy,Washington Jr.
1629139,Yuta Watanabe,Yuta,Watanabe
1630322,Lindy Waters III,Lindy,Waters III
1630570,Trendon Watford,Trendon,Watford
1631212,Peyton Watson,Peyton,Watson
1629683,Quinndary Weatherspoon,Quinndary,Weatherspoon
1631104,Blake Wesley,Blake,Wesley
201566,Russell Westbrook,Russell,Westbrook
1629632,Coby White,Coby,White
1628401,Derrick White,Derrick,White
1631298,Jack White,Jack,White
1630580,Joe Wieskamp,Joe,Wieskamp
1630598,Aaron Wiggins,Aaron,Wiggins
203952,Andrew Wiggins,Andrew,Wiggins
1629623,Lindell Wigginton,Lindell,Wigginton
1631214,Alondes Williams,Alondes,Williams
1629684,Grant Williams,Grant,Williams
1631114,Jalen Williams,Jalen,Williams
1631119,Jaylin Williams,Jaylin,Williams
1631466,Jeenathan Williams,Jeenathan,Williams
1629026,Kenrich Williams,Kenrich,Williams
1631109,Mark Williams,Mark,Williams
1630172,Patrick Williams,Patrick,Williams
1630533,Ziaire Williams,Ziaire,Williams
1629057,Robert Williams III,Robert,Williams III
1631246,Vince Williams Jr.,Vince,Williams Jr.
1629627,Zion Williamson,Zion,Williamson
1628391,D.J. Wilson,D.J.,Wilson
1629685,Dylan Windler,Dylan,Windler
1626159,Justise Winslow,Justise,Winslow
1630164,James Wiseman,James,Wiseman
1626174,Christian Wood,Christian,Wood
1626153,Delon Wright,Delon,Wright
1630593,McKinley Wright IV,McKinley,Wright IV
201152,Thaddeus Young,Thaddeus,Young
1629027,Trae Young,Trae,Young
1630209,Omer Yurtseven,Omer,Yurtseven
203469,Cody Zeller,Cody,Zeller
1627826,Ivica Zubac,Ivica,Zubac
